Time,GEO1_Name,GEO1_Lat,GEO1_Lon,GEO1_Freq_Hz,GEO1_Melbourne_Access,GEO1_Melbourne_SNR_dB,GEO1_Melbourne_RSSI_dBm,GEO1_Sydney_Access,GEO1_Sydney_SNR_dB,GEO1_Sydney_RSSI_dBm,LEO1_Name,LEO1_Lat,LEO1_Lon,LEO1_Freq_Hz,LEO1_Melbourne_Access,LEO1_Melbourne_SNR_dB,LEO1_Melbourne_RSSI_dBm,LEO1_Sydney_Access,LEO1_Sydney_SNR_dB,LEO1_Sydney_RSSI_dBm,LEO2_Name,LEO2_Lat,LEO2_Lon,LEO2_Freq_Hz,LEO2_Melbourne_Access,LEO2_Melbourne_SNR_dB,LEO2_Melbourne_RSSI_dBm,LEO2_Sydney_Access,LEO2_Sydney_SNR_dB,LEO2_Sydney_RSSI_dBm,LEO3_Name,LEO3_Lat,LEO3_Lon,LEO3_Freq_Hz,LEO3_Melbourne_Access,LEO3_Melbourne_SNR_dB,LEO3_Melbourne_RSSI_dBm,LEO3_Sydney_Access,LEO3_Sydney_SNR_dB,LEO3_Sydney_RSSI_dBm
10-Apr-2025 12:00:00,GEO-1,-0.13162564635683,141.352289818458,1500000000,1,47.0632141790182,-103.856976834019,1,46.3782582120455,-104.541932800991,LEO-1,-65.2534969266155,131.196415035991,1500625000,0,NaN,NaN,0,NaN,NaN,LEO-2,-65.2642338145129,141.243932914994,1501375000,0,NaN,NaN,0,NaN,NaN,LEO-3,-65.2709744633676,151.294798696656,1500125000,0,NaN,NaN,0,NaN,NaN
10-Apr-2025 12:00:10,GEO-1,-0.131662321878083,141.352300633988,1500000000,1,47.0632152121274,-103.856975800909,1,46.3782591300811,-104.541931882956,LEO-1,-64.6410076737912,131.158921975937,1501625000,0,NaN,NaN,0,NaN,NaN,LEO-2,-64.6517442416253,141.205134319921,1498875000,0,NaN,NaN,0,NaN,NaN,LEO-3,-64.6584846278651,151.25460131995,1500375000,0,NaN,NaN,0,NaN,NaN
10-Apr-2025 12:00:20,GEO-1,-0.131698927352052,141.352311281543,1500000000,1,47.0632162429305,-103.856974770106,1,46.3782600444271,-104.54193096861,LEO-1,-64.0284565271664,131.121239999648,1498875000,0,NaN,NaN,0,NaN,NaN,LEO-2,-64.0391928551411,141.166204217907,1498875000,0,NaN,NaN,0,NaN,NaN,LEO-3,-64.0459330318495,151.214334021397,1501875000,0,NaN,NaN,0,NaN,NaN
10-Apr-2025 12:00:30,GEO-1,-0.131735462759262,141.352322097319,1500000000,1,47.0632172721839,-103.856973740853,1,46.3782609594985,-104.541930053538,LEO-1,-63.4158424273894,131.083382522532,1501375000,0,NaN,NaN,0,NaN,NaN,LEO-2,-63.4265785910036,141.12715204985,1500625000,0,NaN,NaN,0,NaN,NaN,LEO-3,-63.433318608119,151.174001973892,1502125000,0,NaN,NaN,0,NaN,NaN
10-Apr-2025 12:00:40,GEO-1,-0.131771928080272,141.352332913213,1500000000,1,47.0632182995085,-103.856972713528,1,46.3782618730866,-104.54192913995,LEO-1,-62.8031643104829,131.045361280467,1498875000,0,NaN,NaN,0,NaN,NaN,LEO-2,-62.8139003806199,141.087985933919,1500875000,0,NaN,NaN,0,NaN,NaN,LEO-3,-62.8206402850109,151.133609411151,1500625000,0,NaN,NaN,0,NaN,NaN
10-Apr-2025 12:00:50,GEO-1,-0.131808323295686,141.352343561135,1500000000,1,47.0632193245254,-103.856971688511,1,46.3782627829845,-104.541928230052,LEO-1,-62.1904211777829,131.007186963378,1501625000,0,NaN,NaN,0,NaN,NaN,LEO-2,-62.2011572216692,141.048713259922,1501625000,1,-71.9997797329926,-222.919970746029,0,NaN,NaN,LEO-3,-62.207897057748,151.093160179877,1500125000,1,-201.499016123956,-352.419207136993,0,NaN,NaN
10-Apr-2025 12:01:00,GEO-1,-0.131844648386135,141.352354377275,1500000000,1,47.063220347991,-103.856970665046,1,46.3782636936069,-104.54192731943,LEO-1,-61.5776120381218,130.968869832088,1500875000,0,NaN,NaN,0,NaN,NaN,LEO-2,-61.5883481191173,141.009341272001,1500875000,1,-74.9971344593084,-225.917325472345,0,NaN,NaN,LEO-3,-61.5950879287251,151.052658285718,1501375000,1,-216.395513230652,-367.315704243688,0,NaN,NaN
10-Apr-2025 12:01:10,GEO-1,-0.131880903332297,141.352365193537,1500000000,1,47.0632213695263,-103.85696964351,1,46.3782646027443,-104.541926410292,LEO-1,-60.9647359338187,130.930418808097,1501625000,1,-31.6881515087744,-182.608342521811,0,NaN,NaN,LEO-2,-60.9754721118195,140.969876128574,1501625000,1,-78.4217151636347,-229.341906176671,0,NaN,NaN,LEO-3,-60.9822119344904,151.012106921104,1500375000,1,-231.766517932489,-382.686708945526,0,NaN,NaN
10-Apr-2025 12:01:20,GEO-1,-0.131917088114881,141.352375841824,1500000000,1,47.0632223887523,-103.856968624284,1,46.3782655081905,-104.541925504846,LEO-1,-60.351791936641,130.891842064038,1501375000,1,-31.4753246617545,-182.395515674791,0,NaN,NaN,LEO-2,-60.3625282683142,140.930323466641,1501375000,1,-81.9399346163616,-232.860125629398,0,NaN,NaN,LEO-3,-60.3692681414339,150.971509001439,1500125000,1,-248.689963283534,-399.610154296571,0,NaN,NaN
10-Apr-2025 12:01:30,GEO-1,-0.131953202714637,141.352386658328,1500000000,1,47.0632234064255,-103.856967606611,1,46.3782664143582,-104.541924598679,LEO-1,-59.7387791483003,130.85314760369,1500125000,1,-31.1568089463352,-182.076999959372,0,NaN,NaN,LEO-2,-59.749515687294,140.89068895882,1500875000,1,-85.6698786006701,-236.590069613707,0,NaN,NaN,LEO-3,-59.7562556462417,150.930867697408,1502125000,1,-267.934803040645,-418.854994053682,0,NaN,NaN
